tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,F0CRkJX7ofXjmnRbxtuys8FV_VXxfK-67EvaN1FeQ9WdSQ8,모찌피치모찌피치,726,727,687,False,False,True,False
CHALLENGER,SNP_l7tw_0VPu1LT3VY9pwjBzTolrktjReLzGrMe6OJv50Q,UijU,1004,542,488,True,False,False,False
CHALLENGER,o3eJcn98Afu6ipe0Hr-dgVhdvake7yzsqd1EFDuH3wyzaT4,태기베어,754,543,493,False,False,False,False
CHALLENGER,ftTEwU6fcDmPI5wzbloFyvkHjPq--w8OExAaqk0VWu3bYV8,EM 핑크돼지,696,430,422,False,False,True,True
CHALLENGER,JH8b8ihmtUHUtS-5NDu1WAG3OUnptE8BHLo8jaeC73QkU2E,중국인차단,799,188,144,True,False,False,False
CHALLENGER,jHqBcmnuiA2zrbKNk4V63e5bTHfuAisoVd9MTad1i2Zmy7E,정훈이의 모험,735,249,218,False,False,True,True
CHALLENGER,QRB8ZLR2mbUG3WlqIFVbi5ShIpOOogd-vQq12P_1wkjUVto,쭌 베,1054,275,216,True,False,False,False
CHALLENGER,D8Kz_Sm3ErW0mexifslnQosqXjGHEDqK1kFebJ7AYt5j4zM,can see you,910,853,744,False,False,True,False
CHALLENGER,ryT97__CvRRGMa9zZUV4bpmZLvxO4dB6o-XcEwZxi3vJ4IM,yasuo2,888,177,128,False,False,False,False
CHALLENGER,CcwJ5N2maZCrUmRzJZUaswcyalO5x2kXqlJ_tZqe8gsDiw,팀운정말나쁜사람,790,232,185,False,False,False,False
CHALLENGER,MT0J-EEZIUNrx14wXTWX8j-HeaNRsrDU0GcU5icDML8S7-g,엘리멘트 미스틱,699,289,267,False,False,True,True
CHALLENGER,JDnxX_vHhAfwD3QgT0fZrdeDwFXV8s67sk_v7vZNEHVCkJo,VGzhao345804673,716,225,169,False,False,True,False
CHALLENGER,SJrfFtrf3vhgr7g-RRPOOUWF27oT4RHhVn5KsgdhBgPLEw,mingkey00,774,246,192,False,False,False,False
CHALLENGER,6CfhNe_p-gvc7g9-Iqx-ZTFz9CuchXHIUPYzICquIP8VuYg,무섭다 나 자신,884,331,264,False,False,False,False
CHALLENGER,AezMOJFSSkhDbFA6ty6TwW2CA1Dlx5Eo3yZkVNUN4Jx8vkE,스위트 패스츄리,831,523,483,False,False,False,False
CHALLENGER,c4MuQ4YiRxNpcQh-jYefRNppLi5pt68dEaHre2vZZqyKSUw,lengjingsikao,637,721,681,False,False,True,False
CHALLENGER,WjmbYZXrrsHVDpeD0142ozIznoRosPRYhyoiuoIYqWKiI6Q,튀자튀자아,720,504,468,False,False,False,False
CHALLENGER,D4GY8J69vPvYno2DeuEiGMuXWkLo_c0bvb0m3rMaSDC1-2o,DRX Onlyl,810,562,512,True,False,False,False
CHALLENGER,R232jHK_whNLKwQG0IBaDhzcQ705Sml2JGAqtGodBHQqLdnW,개똥벌레a,1224,186,111,True,False,False,False
CHALLENGER,TjYxk7pK2Z_oJyNkTWxXQscLAh0cgmavQynTGKGo_Ni0dPA,베인장인요맨,814,345,287,False,False,False,True
CHALLENGER,81N2S_3a3AOHJvwSJ75cdqtNDAv3ZBrr_dhno0hZZhuGW2s,KENSHIN1,736,298,252,False,False,True,True
CHALLENGER,NLpGrORp0lok0nKy_3DIsSWPqfr0U8JQgtnok8cA67LXwQA,xasfsdwqewq,827,219,172,True,False,False,False
CHALLENGER,-IdVZq94mWPyy3wL7pzK3BD6POm0g3B9DlPqb-H5SVjBJYM,걸렸다 내정체,1023,325,258,False,False,False,False
CHALLENGER,WX3rB4WRrqQHAiD2wEJK-MgDgSCYeUp7iy8U9yoEi6puCz0,Zenit,758,426,382,True,False,False,False
CHALLENGER,KfOTiWbYq1-7O3X5RfAI-VmNtmY98mWXwd92xH69ZfwAav0,SPG Zzus,1196,325,263,True,False,False,True
CHALLENGER,f5-Oa4hzQrQW_HxhZY7NLMPxF3Tcvcyela33XiPs_IDb3e8,SANDBOX Leo,727,611,581,True,False,False,False
CHALLENGER,WMRTksEdflXr-HTxIKtZjd7GBqXPy-JB4lhGfQMqg0mqGn8,칸 나,1018,525,471,True,False,False,True
CHALLENGER,r05O5CfwAeqBcKDpwJiOdkyUo68z8VKL_I-yF3gOqdHCYig,KZ Quad,927,262,145,True,False,False,False
CHALLENGER,DMr6Ft2DVYeksqzONwrZy13zEg44QQqiKfV4IPENoKtJQd0,DRX Deft,1013,531,466,True,False,False,False
CHALLENGER,3aM7btj7Q3oJYTPe62NSLuJFHPytmO238Dt1P5V9ayPZhQc,7777케이,694,807,757,False,False,True,True
CHALLENGER,RPv1iiO6j2gBfhR5b5MF4xJzIS6-5KkLpW0SwTWYXTe8SNw,EM Karas,837,758,695,False,False,False,False
CHALLENGER,Y-fVYXgFiIB1gmiW5bNHWDwAUut5gZI1GySWjOHiPZ3ADQ,MAI WAY,760,190,144,True,False,False,False
CHALLENGER,CCeiBmIwXpNU6IuXLBrn_ZRW5vlJKMIzaCNUW6GLcmn0V04,아카루이,760,201,152,False,False,False,False
CHALLENGER,tThz31GiyieiQtsfUbIWRLPnb3PmZMTVgRgIKq9Fj2wyY9w,Sup2020,689,385,343,False,False,False,False
