tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,lYwGID7iSdoVyLJCpp6d3ZlhYpaY9p1Y79fNFwBGHhCZxGw,PluTo777,567,299,272,False,False,True,False
GRANDMASTER,GaS1OA2rXQXPJUPA5nyy49X5g7OD9HtZFoBeoZZVXI-0EIQ,Kawayi,372,604,599,False,False,True,False
GRANDMASTER,_EU6Gaw_rSsWXYCBMA2HNJke9JTDdpS9GVSt7K6v4xaMPLM,no dream1,597,602,573,False,False,True,False
GRANDMASTER,lbaQZ_WxCHKTohuQbmh4UhCjN6zGvzR90u1L1LXhF_y-Kg,시계선생님,333,133,94,False,False,True,True
GRANDMASTER,HUWo_9eUpPlhJqytOwti2UeFAZ-r2j8lpRWV1fsqDLIljgU,hy2rwt,347,962,937,False,False,False,False
GRANDMASTER,dqT3oVL4RhcdTY4IBQKFkMMSynb8M6sYCizFccTjy8E_Pmk,전민혁,327,551,550,False,False,True,False
GRANDMASTER,emgbVvAojqNbNIoK2tLglMsF00mautR4lhQ3EtMafw99tWo,gyydqml,612,327,298,True,False,False,False
GRANDMASTER,gl-ce5UoyBr1X4cS-0sBrAmzqnGPX7Y2Nn1Niqbn2xkxYyM,Meow 0w0,599,196,152,True,False,False,True
GRANDMASTER,Z8YFy-4u5UR9ZG8g6uvImUnBZ2ziP_Lrf-nK82vHiNPMGtU, Qu1et game,623,756,694,False,False,True,False
GRANDMASTER,1B0LBtAFm3DBZZmf5Hlq2yGfiv18zzr0NO2QJWb8VsXu3YU,TudouIei,402,674,645,True,False,False,False
GRANDMASTER,rz9gfW78Bq__3gzmvn81skbgsaLAc2ig3IC2zJQD-PFa1g,우우리99,449,317,301,False,False,False,True
GRANDMASTER,jZrhTUSA4wElNLx7e0NtZBu4P_q9DUc2svZ7lEI77WcL5Gg,SMLR,596,343,311,False,False,False,False
GRANDMASTER,hA0kEB4Vm5ckuysduvOVozCK6zqeRLSpJJLUw1Fj5B-wIg,JongSeop Eun,624,254,211,False,False,False,False
GRANDMASTER,qzzLu7rNXxizBOxmk8BemNdKXktb124rrmwhKzEK0AJTFUM,내가강만식,641,203,196,False,False,True,False
GRANDMASTER,mYEKZ6iE5Tz-bUIR29P8ngELvFdx8PasR_TrY9_y6S-1ktQ,재우씨,549,446,417,False,False,False,False
GRANDMASTER,Rw9SgAmeDTpJvXsmPafF60KD6xU76XwlaAMETiG44dWQHIM,molaaaaaaaaaa,341,129,108,False,False,True,False
GRANDMASTER,V3h1bB23hUtI01AqOd3zwljq1NKbWIL2WHjX2iB7xTabZSg,인선이부하1호,316,170,141,False,False,True,True
GRANDMASTER,gs0Jz8HP1MXGToSXaWL8GortNLzHYSkU1778VoO_u8uK03o,군빵맨,596,590,555,False,False,False,False
GRANDMASTER,MX40TlJFL3hGYVQSQ8ipJloXvo8el7T19T_zbNBLYUKWhWs,DFM SUP,487,231,206,True,False,False,False
GRANDMASTER,xCww1SuOC8Jy9P_UPJoBkbTr5r93yC_eMPfY6fktBSoTNw,전설의용사김한샘,541,693,664,False,False,True,False
GRANDMASTER,wn1gH02Kjrzlz8ceBZgEzhrpOQQvPYU-8DzA7T_Q5c7Vbjg,금천구 칼날주먹,631,587,572,False,False,False,False
GRANDMASTER,5dABRS1lrKRPe7CIHyhYhTeITv0y3TKKbxFQt_ZBGMe7kTM,도센세야,427,453,424,True,False,False,True
GRANDMASTER,iqGOy2ZoCF8ZOQUpryDi3lgV8fRYoOJ9KdR3wi77D3No6yo,빠른 쓰레기,412,379,297,False,False,False,False
GRANDMASTER,Y5uxnwVmQvt6aUGPULfWJqIPsdmeFuGqhNVbMPNBIZpdHAc,5Kid,409,196,174,False,False,True,False
GRANDMASTER,R3Gf4wI85DzFZBFTt0iWzp8raGmSKNVJm6U094bWKISgRHc,승용e,321,565,540,False,False,True,False
GRANDMASTER,dswc1t3bzx3PtXKaQErf3aUya14CBM9txxGGK_NCMIZWdaM,mengmengdongdong,436,505,405,True,False,False,False
GRANDMASTER,PBrfvSbp_dqGrdXASO4u7i0nU4aVzjvmgvK-uBQ44N1_CA,유러피언골드핀치,398,386,259,False,False,False,True
GRANDMASTER,vXemmGtSnxjvi7xifcKCNLclP8Aad2TL43Y_6A1i5vE93Q0,Destiny YouTube,414,517,490,True,False,False,False
GRANDMASTER,CV1fA6vJMgdQwU7dQGc41TInjY3JOj2whEKr-Hh6xw0jMQ,마음이 급한 내탓,506,958,968,False,False,False,False
GRANDMASTER,FaFVgsTVscbQdt4l7cChaDvYQgd8Hb-7rQ38JiM7SnR1tjM,고기굽다불낸남자,356,159,126,False,False,True,False
GRANDMASTER,24V17JQ8cQulpNVL4nltCj6MU1fnsd0oA_d4RgPHxVvVH3I,이기는싸움안망침,362,216,186,False,False,True,False
GRANDMASTER,s6ktMl1MlBkYLCp1nY9mBlAewsxFxIL9epnH8Tg0eMPqFw,바텀권위자,333,406,386,False,False,True,False
GRANDMASTER,UMO0YcBaxVRDYDfzsIqf-2L5MyIOYVQov6D-t51n3W4ZLpo,szygszn,406,843,824,False,False,True,False
GRANDMASTER,n81bwNZKfJE1dtpuodP1T3XH1b25ICLZXwXZSjU3xUEJHZ8,원딜은무기력하다,413,219,182,False,False,False,False
GRANDMASTER,SXq-kyoevhZ0ABaqBdQI1ZG2SKUDAyOzPReqK9Gl0Yz5iC4,프제짱이되고싶다,331,307,288,False,False,True,True
GRANDMASTER,7GEtop1X4PosXoyo1hYNxSiTITbu61ZZSZi-Nyx4Ep1v88w,마우스감도오,565,222,183,False,False,True,False
GRANDMASTER,VHAfveVEdW9dtvCTR_rHoKaB1HdBFwGgW7laJufiQjJWz3c,Change y0urself,420,717,630,False,False,True,True
GRANDMASTER,Ok8azFlxMKPakBctMsuuFwXwvzwgFbWnCFVLBHJmj1RFCnY,2016년06월01일,370,309,198,False,False,True,True
GRANDMASTER,7M3-tdRdpMahReBPI_0qrjtvzhgCuZcNDsK0vB4KSTOvgGY,Mocha,396,533,510,False,False,False,False
GRANDMASTER,FXenlPGEDGRxoNJu1gO22X-PP0gfl26pYqIX8F-6rUPPLrQ,San xun 20,371,254,161,False,False,False,False
GRANDMASTER,BTzmz5efqm39eHngW4gpt5YL3HmBRXVVtTe1s2E5v7FlSzGx,yijiu77,447,248,162,False,False,True,False
GRANDMASTER,C0XAC9QNZfkbQKnIZEe0t9vF6zrCDxfMFRgKyWda5nVWTGQ,98k,508,694,630,False,False,False,False
GRANDMASTER,G69vnQQUogGb_5W_OkuWFXUQMYf49bY5G_idwLaz-TWbo8I,Lumen AD,610,426,289,True,False,False,True
GRANDMASTER,3h70Ro9Jy3HHryUqK5N7AC7pTVGswUy373X0r9HHHKv69c4,이도류,488,578,550,False,False,False,False
GRANDMASTER,bJHCuaYRa_edobqNhnVjCyNTmxlv8V_nQD25L3_8Nw3I5gM,모기퇴치,423,236,196,True,False,False,False
GRANDMASTER,TcWD8NPXatWWFiXk_ZlXAS_zNYm1dzaUnxvSLVF9_sC1oRs,절망속의한줄기빛,433,122,101,True,False,False,False
GRANDMASTER,ZTu2ebfjRw6OIm30o8TOr4VphlOqaaIocDk_N3xorqLXPr0,ilgwom,383,313,275,False,False,False,False
GRANDMASTER,wTpWhFczx6LUST-QPq93kKsC9OeFdI_i7v-T5Gzzgcl9suU,HUYATV UMC,313,551,522,False,False,False,False
GRANDMASTER,Xw7oRitfeKu-oWZObfyPc6W00FrVM3y1k52hF3yTJ_Y6bd4,River9,649,494,458,False,False,True,False
GRANDMASTER,e5pVdIFn-y0t_BMNbkvSNplTryEJDXYYZU3BepZuYGK1QWQ,HuLatang,503,561,471,True,False,False,False
GRANDMASTER,o8ZP2AeZNXl7imVHuD6YpgyQhgbCGRRYqZ9ZYVk0o09Ypyg,Broken Tools,321,379,349,False,False,True,True
GRANDMASTER,s0LXjF3nULMt_OZfwg9pkoM96bqzsbq0EwnAoiKSyoj-lb4,미친듯이 파이팅,718,188,105,False,False,True,True
GRANDMASTER,t9wOqD0wmIZ_VT3McqKx5CIhg6XMIH3Df7LEbSlhet1Jug,하이드,569,295,260,False,False,False,False
GRANDMASTER,VOeqqiynquYcTy39PrsF7lEoK4aFvnF7QuFStcuedGPhj14,950502,498,142,105,False,False,False,False
GRANDMASTER,NdenpcYY5JxpOsZ0uUELFm52UTyPw69O6tgA8s8YbvRX8kE,EM 상어,385,272,238,False,False,True,False
GRANDMASTER,-4f8nVcBv9HwPBZRpcVanyY98a8GDjo68dyjytJKWCfwP1M,내가 닿을수있게,329,132,100,False,False,False,False
GRANDMASTER,g5S-s7RCL58q2vYWMRl9Yjh2dtxmau8ZM_-cFhIBGwzngqY,환상동화 Pretty,677,153,110,False,False,False,False
GRANDMASTER,zalZ7yNUtMEf-IZddq2b_5jD3bRc_5Hb75nvermbXT9gp1U,kongyouzixin,518,1063,979,True,False,False,True
GRANDMASTER,p5YFpAZ3c7PYnNZtMyaeUMw8Vjg1B3_PjQYeXTcFmLWz0EQ,바텀지면계속죽다,647,316,279,False,False,False,False
GRANDMASTER,O1Ej7G4AWhr7S1U4bdpQMOgOpnzFk0i1bNSGAvZBvV10xg,모순 그리고 존재,328,813,793,False,False,True,False
GRANDMASTER,wpb0eq9k1ZWbtmFMg-TqcG5OZRHGCjz_MJobeHMfeNoFdrU,Slow Start 1,447,377,346,True,False,False,False
