,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,win_rate
1414,MASTER,kfHNnfgX9rxwuejNG0BgGcFVLFjEHoZDtf0nAut2bZoldA,바보에용,0,221,174,False,False,False,False,55.949
1415,MASTER,Cj3WOsznGzdN8WEP8AZuUIEgy--8suJbPtmNbFqE7AWP8O4,로오드,76,1106,1074,False,False,True,False,50.734
1416,MASTER,G0RqWYnrNsDOCyzXihROpV07N7Lrsv4u70omIv834PGavg,Ththx,44,190,170,False,False,True,False,52.778
1417,MASTER,FADUHN69w9U3Sm-3PDNqyxWotWtu3tMg98ckLkxA8Rwko-uT,ggttqetivcs009,30,54,38,False,False,True,False,58.696
1418,MASTER,1QcMIjyiaiLam5RjWJyo1HG6L3eKhD-IYEjzVKO7Wn2lKA,포스텍19오승준,228,262,234,False,False,False,False,52.823
1419,MASTER,2dXcXNAXhB7KUsfJ8YCd1TFBzoJiq3Se5MeNK6AQHKrBsQ,모링몬,79,209,175,False,False,False,True,54.427
1420,MASTER,s5iF5N0gAyda5DRWDbDoZ4Ermmswpkz0llxpmL-GFNgqjSbp,SANDBOX 무루,52,81,18,False,False,True,False,81.818
1421,MASTER,IjND1MVo6_1CUNlEhVjaHsmRkuLGhdQGixkJbHoX3LKg0Yw,딩거의신,102,493,478,False,False,False,False,50.772
1422,MASTER,QRJ-ZP9ftXyW6j4ubpCFer68yV4qg_5q1GpgDAuQ_CqeuHc,양세형의리듬체조,0,235,174,False,False,True,False,57.457
1423,MASTER,BADXFpuXVH2v_xEPKqMWMxE1T6Nq3k62Crruxp_7LsST2Vs,Amor Fati 99,0,89,72,False,False,True,False,55.28
1424,MASTER,Lj0tI2jmkGcRZwxFxeC8Q29EWBcQtZhLMx3vCU4qB9pjhhM,Injured Pride,26,175,113,False,False,True,False,60.764
1425,MASTER,DnyAttAltRwKBO79xXYjxnyeXCa7HpRk6dTxCmR_p2ipJF0,돈이댐비냐,17,466,455,True,False,False,False,50.597
1426,MASTER,yk7MwbVnIzSIR1n4rB79HnpYnEcTeqZZZ1I3BC-CBchMeRU,tuokuzi,272,305,277,False,False,True,False,52.405
1427,MASTER,LJ0T_rJiGbJCBcyhk0KjIuTBt8vRMtHLbd6PKVJbB6k_hUc,원당깜찍이담당,28,656,619,True,False,False,False,51.451
1428,MASTER,He6DCoDn7IxB7kAGryeWyRl9bDxVtTT4hXQpzF9aprVrqw,Esther5,206,478,462,False,False,False,False,50.851
1429,MASTER,iMk4G3gFYXFNu73_HhSDovhANLYEPrLhoQKNrP4GHJR4qP8,GreenTea Latt3,65,340,316,False,False,False,False,51.829
1430,MASTER,ThlTalrF8xPfXqf5sYixEAgh_6uC9kObfJY77vsqT53GwAQ,Jok3rHan,148,490,413,False,False,True,False,54.264
1431,MASTER,HAvQEldb_KzzbH_vu8EVFtEvvzYeoVvT2foN5GcVRf0xlw,We알the월드,0,98,78,False,False,False,False,55.682
1432,MASTER,p_RxVp2Bbzu8hmm0r_Vze4deqsZzbAFi33duk-OgH-9nHhQ,아니 R 99,19,108,90,False,False,True,False,54.545
1433,MASTER,zZuyJSJ_QXcUZMsQ8sDYyH52GWtvYd8OFxn2ge5OcSPiZhM,마인표살음물,0,439,411,False,False,True,False,51.647
1434,MASTER,QhMhBUo5d3GyJIpwFo57dBcekadH-etWocRxwVeb7o3GVw,오더안들으면템팜,41,182,173,False,False,False,True,51.268
